run_id,event_index,backend_id,proof_type,proof_size_bytes,verification_time_ms,status,error_code
W3-A2-merkle-R01,10,A2-merkle,inclusion,304,0.011187,ok,
W3-A2-merkle-R01,11,A2-merkle,inclusion,373,0.014843,ok,
W3-A2-merkle-R01,12,A2-merkle,inclusion,304,0.009915,ok,
W3-A2-merkle-R01,13,A2-merkle,inclusion,373,0.013301,ok,
W3-A2-merkle-R01,14,A2-merkle,inclusion,373,0.012830,ok,
W3-A2-merkle-R01,15,A2-merkle,inclusion,442,0.014962,ok,
W3-A2-merkle-R01,16,A2-merkle,inclusion,235,0.007611,ok,
W3-A2-merkle-R01,17,A2-merkle,inclusion,304,0.011047,ok,
W3-A2-merkle-R01,18,A2-merkle,inclusion,304,0.010335,ok,
W3-A2-merkle-R01,19,A2-merkle,inclusion,373,0.013750,ok,
W3-A2-merkle-R01,20,A2-merkle,inclusion,304,0.011587,ok,
W3-A2-merkle-R01,21,A2-merkle,inclusion,373,0.014131,ok,
W3-A2-merkle-R01,22,A2-merkle,inclusion,373,0.013049,ok,
W3-A2-merkle-R01,23,A2-merkle,inclusion,442,0.016695,ok,
W3-A2-merkle-R01,24,A2-merkle,inclusion,304,0.010305,ok,
W3-A2-merkle-R01,25,A2-merkle,inclusion,373,0.012900,ok,
W3-A2-merkle-R01,26,A2-merkle,inclusion,373,0.015723,ok,
W3-A2-merkle-R01,27,A2-merkle,inclusion,442,0.015864,ok,
W3-A2-merkle-R01,28,A2-merkle,inclusion,373,0.013210,ok,
W3-A2-merkle-R02,0,A2-merkle,inclusion,165,0.005058,ok,
W3-A2-merkle-R02,1,A2-merkle,inclusion,233,0.007832,ok,
W3-A2-merkle-R02,2,A2-merkle,inclusion,233,0.008142,ok,
W3-A2-merkle-R02,3,A2-merkle,inclusion,302,0.011187,ok,
W3-A2-merkle-R02,4,A2-merkle,inclusion,233,0.007972,ok,
W3-A2-merkle-R02,5,A2-merkle,inclusion,302,0.010195,ok,
W3-A2-merkle-R02,6,A2-merkle,inclusion,302,0.011317,ok,
W3-A2-merkle-R02,7,A2-merkle,inclusion,371,0.012950,ok,
W3-A2-merkle-R02,8,A2-merkle,inclusion,233,0.013260,ok,
W3-A2-merkle-R02,9,A2-merkle,inclusion,303,0.010175,ok,
W3-A2-merkle-R02,10,A2-merkle,inclusion,304,0.009875,ok,
W3-A2-merkle-R02,11,A2-merkle,inclusion,373,0.013240,ok,
W3-A2-merkle-R02,12,A2-merkle,inclusion,304,0.010005,ok,
W3-A2-merkle-R02,13,A2-merkle,inclusion,373,0.012479,ok,
W3-A2-merkle-R02,14,A2-merkle,inclusion,373,0.012709,ok,
W3-A2-merkle-R02,15,A2-merkle,inclusion,442,0.015073,ok,
W3-A2-merkle-R02,16,A2-merkle,inclusion,235,0.008153,ok,
W3-A2-merkle-R02,17,A2-merkle,inclusion,304,0.010316,ok,
W3-A2-merkle-R02,18,A2-merkle,inclusion,304,0.010556,ok,
